DATE,DJIA
Aug 25 2008,11386.25
Aug 26 2008,11412.87
Aug 27 2008,11502.51
Aug 28 2008,11715.18
Aug 29 2008,11543.55
Sep 01 2008,
Sep 02 2008,11516.92
Sep 03 2008,11532.88
Sep 04 2008,11188.23
Sep 05 2008,11220.96
Sep 08 2008,11510.74
Sep 09 2008,11230.73
Sep 10 2008,11268.92
Sep 11 2008,11433.71
Sep 12 2008,11421.99
Sep 15 2008,10917.51
Sep 16 2008,11059.02
Sep 17 2008,10609.66
Sep 18 2008,11019.69
Sep 19 2008,11388.44
Sep 22 2008,11015.69
Sep 23 2008,10854.17
Sep 24 2008,10825.17
Sep 25 2008,11022.06
Sep 26 2008,11143.13
Sep 29 2008,10365.45
Sep 30 2008,10850.66
Oct 01 2008,10831.07
Oct 02 2008,10482.85
Oct 03 2008,10325.38
Oct 06 2008,9955.5
Oct 07 2008,9447.11
Oct 08 2008,9258.1
Oct 09 2008,8579.19
Oct 10 2008,8451.19
Oct 13 2008,9387.61
Oct 14 2008,9310.99
Oct 15 2008,8577.91
Oct 16 2008,8979.26
Oct 17 2008,8852.22
Oct 20 2008,9265.43
Oct 21 2008,9033.66
Oct 22 2008,8519.21
Oct 23 2008,8691.25
Oct 24 2008,8378.95
Oct 27 2008,8175.77
Oct 28 2008,9065.12
Oct 29 2008,8990.96
Oct 30 2008,9180.69
Oct 31 2008,9325.01
Nov 03 2008,9319.83
Nov 04 2008,9625.28
Nov 05 2008,9139.27
Nov 06 2008,8695.79
Nov 07 2008,8943.81
Nov 10 2008,8870.54
Nov 11 2008,8693.96
Nov 12 2008,8282.66
Nov 13 2008,8835.25
Nov 14 2008,8497.31
Nov 17 2008,8273.58
Nov 18 2008,8424.75
Nov 19 2008,7997.28
Nov 20 2008,7552.29
Nov 21 2008,8046.42
Nov 24 2008,8443.39
Nov 25 2008,8479.47
Nov 26 2008,8726.61
Nov 27 2008,
Nov 28 2008,8829.04
Dec 01 2008,8149.09
Dec 02 2008,8419.09
Dec 03 2008,8591.69
Dec 04 2008,8376.24
Dec 05 2008,8635.42
Dec 08 2008,8934.18
Dec 09 2008,8691.33
Dec 10 2008,8761.42
Dec 11 2008,8565.09
Dec 12 2008,8629.68
Dec 15 2008,8564.53
Dec 16 2008,8924.14
Dec 17 2008,8824.34
Dec 18 2008,8604.99
Dec 19 2008,8579.11
Dec 22 2008,8519.77
Dec 23 2008,8419.49
Dec 24 2008,8468.48
Dec 25 2008,
Dec 26 2008,8515.55
Dec 29 2008,8483.93
Dec 30 2008,8668.39
Dec 31 2008,8776.39
Jan 01 2009,
Jan 02 2009,9034.69
Jan 05 2009,8952.89
Jan 06 2009,9015.1
Jan 07 2009,8769.7
Jan 08 2009,8742.46
Jan 09 2009,8599.18
Jan 12 2009,8473.97
Jan 13 2009,8448.56
Jan 14 2009,8200.14
Jan 15 2009,8212.49
Jan 16 2009,8281.22
Jan 19 2009,
Jan 20 2009,7949.09
Jan 21 2009,8228.1
Jan 22 2009,8122.8
Jan 23 2009,8077.56
Jan 26 2009,8116.03
Jan 27 2009,8174.73
Jan 28 2009,8375.45
Jan 29 2009,8149.01
Jan 30 2009,8000.86
Feb 02 2009,7936.83
Feb 03 2009,8078.36
Feb 04 2009,7956.66
Feb 05 2009,8063.07
Feb 06 2009,8280.59
Feb 09 2009,8270.87
Feb 10 2009,7888.88
Feb 11 2009,7939.53
Feb 12 2009,7932.76
Feb 13 2009,7850.41
Feb 16 2009,
Feb 17 2009,7552.6
Feb 18 2009,7555.63
Feb 19 2009,7465.95
Feb 20 2009,7365.67
Feb 23 2009,7114.78
Feb 24 2009,7350.94
Feb 25 2009,7270.89
Feb 26 2009,7182.08
Feb 27 2009,7062.93
Mar 02 2009,6763.29
Mar 03 2009,6726.02
Mar 04 2009,6875.84
Mar 05 2009,6594.44
Mar 06 2009,6626.94
Mar 09 2009,6547.05
Mar 10 2009,6926.49
Mar 11 2009,6930.4
Mar 12 2009,7170.06
Mar 13 2009,7223.98
Mar 16 2009,7216.97
Mar 17 2009,7395.7
Mar 18 2009,7486.58
Mar 19 2009,7400.8
Mar 20 2009,7278.38
Mar 23 2009,7775.86
Mar 24 2009,7659.97
Mar 25 2009,7749.81
Mar 26 2009,7924.56
Mar 27 2009,7776.18
Mar 30 2009,7522.02
Mar 31 2009,7608.92
Apr 01 2009,7761.6
Apr 02 2009,7978.08
Apr 03 2009,8017.59
Apr 06 2009,7975.85
Apr 07 2009,7789.56
Apr 08 2009,7837.11
Apr 09 2009,8083.38
Apr 10 2009,
Apr 13 2009,8057.81
Apr 14 2009,7920.18
Apr 15 2009,8029.62
Apr 16 2009,8125.43
Apr 17 2009,8131.33
Apr 20 2009,7841.73
Apr 21 2009,7969.56
Apr 22 2009,7886.57
Apr 23 2009,7957.06
Apr 24 2009,8076.29
Apr 27 2009,8025
Apr 28 2009,8016.95
Apr 29 2009,8185.73
Apr 30 2009,8168.12
May 01 2009,8212.41
May 04 2009,8426.74
May 05 2009,8410.65
May 06 2009,8512.28
May 07 2009,8409.85
May 08 2009,8574.65
May 11 2009,8418.77
May 12 2009,8469.11
May 13 2009,8284.89
May 14 2009,8331.32
May 15 2009,8268.64
May 18 2009,8504.08
May 19 2009,8474.85
May 20 2009,8422.04
May 21 2009,8292.13
May 22 2009,8277.32
May 25 2009,
May 26 2009,8473.49
May 27 2009,8300.02
May 28 2009,8403.8
May 29 2009,8500.33
Jun 01 2009,8721.44
Jun 02 2009,8740.87
Jun 03 2009,8675.28
Jun 04 2009,8750.24
Jun 05 2009,8763.13
Jun 08 2009,8764.49
Jun 09 2009,8763.06
Jun 10 2009,8739.02
Jun 11 2009,8770.92
Jun 12 2009,8799.26
Jun 15 2009,8612.13
Jun 16 2009,8504.67
Jun 17 2009,8497.18
Jun 18 2009,8555.6
Jun 19 2009,8539.73
Jun 22 2009,8339.01
Jun 23 2009,8322.91
Jun 24 2009,8299.86
Jun 25 2009,8472.4
Jun 26 2009,8438.39
Jun 29 2009,8529.38
Jun 30 2009,8447
Jul 01 2009,8504.06
Jul 02 2009,8280.74
Jul 03 2009,
Jul 06 2009,8324.87
Jul 07 2009,8163.6
Jul 08 2009,8178.41
Jul 09 2009,8183.17
Jul 10 2009,8146.52
Jul 13 2009,8331.68
