"","State","Data.Value"
"74","AK",138
"148","AL",787
"222","AR",425
"296","AZ",1565
"371","CA",5023
"446","CO",1049
"666","CT",1047
"1258","DE",330
"1332","FL",5428
"1407","GA",1476
"1481","HI",202
"1555","IA",337
"1628","ID",227
"1702","IL",2760
"1776","IN",1804
"1850","KS",319
"1924","KY",1528
"1998","LA",1112
"2072","MA",2158
"2294","MD",2284
"2665","ME",408
"2886","MI",2563
"2960","MN",718
"3034","MO",1396
"3108","MS",315
"3183","MT",111
"3404","NC",2323
"3626","ND",81
"3700","NE",152
"3923","NH",472
"4146","NJ",2585
"4366","NM",481
"4736","NV",757
"5106","NY",2406
"5328","OH",4928
"5551","OK",755
"5920","OR",542
"6142","PA",5283
"6364","RI",321
"6734","SC",990
"6956","SD",69
"7030","TN",1755
"7104","TX",2964
"7696","UT",636
"8066","VA",1437
"8436","VT",129
"8807","WA",1164
"9028","WI",1152
"9250","WV",940
"9472","WY",61
