"","Date","Price","Location"
"1","8/3/15",2.421,"Texas"
"2","8/10/15",2.359,"Texas"
"3","8/17/15",2.372,"Texas"
"4","8/24/15",2.312,"Texas"
"5","8/31/15",2.212,"Texas"
"6","9/7/15",2.148,"Texas"
"7","9/14/15",2.096,"Texas"
"8","9/21/15",2.036,"Texas"
"9","9/28/15",2.026,"Texas"
"10","10/5/15",2.035,"Texas"
"11","10/12/15",2.057,"Texas"
"12","10/19/15",2.017,"Texas"
"13","10/26/15",1.961,"Texas"
"14","11/2/15",1.924,"Texas"
"15","11/9/15",1.991,"Texas"
"16","11/16/15",1.927,"Texas"
"17","11/23/15",1.867,"Texas"
"18","11/30/15",1.823,"Texas"
"19","12/7/15",1.82,"Texas"
"20","12/14/15",1.789,"Texas"
"21","12/21/15",1.788,"Texas"
"22","12/28/15",1.763,"Texas"
"23","1/4/16",1.746,"Texas"
"24","1/11/16",1.714,"Texas"
"25","1/18/16",1.675,"Texas"
"26","1/25/16",1.63,"Texas"
"27","2/1/16",1.598,"Texas"
"28","2/8/16",1.58,"Texas"
"29","2/15/16",1.543,"Texas"
"30","2/22/16",1.537,"Texas"
"31","2/29/16",1.554,"Texas"
"32","3/7/16",1.605,"Texas"
"33","3/14/16",1.748,"Texas"
"34","3/21/16",1.816,"Texas"
"35","3/28/16",1.862,"Texas"
"36","4/4/16",1.873,"Texas"
"37","4/11/16",1.836,"Texas"
"38","4/18/16",1.914,"Texas"
"39","4/25/16",1.917,"Texas"
"40","5/2/16",2,"Texas"
"41","5/9/16",2.001,"Texas"
"42","5/16/16",1.988,"Texas"
"43","5/23/16",2.069,"Texas"
"44","5/30/16",2.093,"Texas"
"45","6/6/16",2.142,"Texas"
"46","6/13/16",2.143,"Texas"
"47","6/20/16",2.111,"Texas"
"48","6/27/16",2.116,"Texas"
"49","7/4/16",2.08,"Texas"
"50","7/11/16",2.052,"Texas"
"51","7/18/16",2.022,"Texas"
"52","7/25/16",2.012,"Texas"
"53","8/1/16",1.974,"Texas"
"54","8/8/16",1.954,"Texas"
"55","8/15/16",1.963,"Texas"
"56","8/22/16",1.988,"Texas"
"57","8/29/16",2.035,"Texas"
"58","9/5/16",2.023,"Texas"
"59","9/12/16",1.988,"Texas"
"60","9/19/16",1.961,"Texas"
"61","9/26/16",1.953,"Texas"
"62","10/3/16",1.995,"Texas"
"63","10/10/16",2.034,"Texas"
"64","10/17/16",2.04,"Texas"
