Date,Price,Location
Aug 3 2015,2.421,Texas
Aug 10 2015,2.359,Texas
Aug 17 2015,2.372,Texas
Aug 24 2015,2.312,Texas
Aug 31 2015,2.212,Texas
Sep 7 2015,2.148,Texas
Sep 14 2015,2.096,Texas
Sep 21 2015,2.036,Texas
Sep 28 2015,2.026,Texas
Oct 5 2015,2.035,Texas
Oct 12 2015,2.057,Texas
Oct 19 2015,2.017,Texas
Oct 26 2015,1.961,Texas
Nov 2 2015,1.924,Texas
Nov 9 2015,1.991,Texas
Nov 16 2015,1.927,Texas
Nov 23 2015,1.867,Texas
Nov 30 2015,1.823,Texas
Dec 7 2015,1.82,Texas
Dec 14 2015,1.789,Texas
Dec 21 2015,1.788,Texas
Dec 28 2015,1.763,Texas
Jan 4 2016,1.746,Texas
Jan 11 2016,1.714,Texas
Jan 18 2016,1.675,Texas
Jan 25 2016,1.63,Texas
Feb 1 2016,1.598,Texas
Feb 8 2016,1.58,Texas
Feb 15 2016,1.543,Texas
Feb 22 2016,1.537,Texas
Feb 29 2016,1.554,Texas
Mar 7 2016,1.605,Texas
Mar 14 2016,1.748,Texas
Mar 21 2016,1.816,Texas
Mar 28 2016,1.862,Texas
Apr 4 2016,1.873,Texas
Apr 11 2016,1.836,Texas
Apr 18 2016,1.914,Texas
Apr 25 2016,1.917,Texas
May 2 2016,2,Texas
May 9 2016,2.001,Texas
May 16 2016,1.988,Texas
May 23 2016,2.069,Texas
May 30 2016,2.093,Texas
Jun 6 2016,2.142,Texas
Jun 13 2016,2.143,Texas
Jun 20 2016,2.111,Texas
Jun 27 2016,2.116,Texas
Jul 4 2016,2.08,Texas
Jul 11 2016,2.052,Texas
Jul 18 2016,2.022,Texas
Jul 25 2016,2.012,Texas
Aug 1 2016,1.974,Texas
Aug 8 2016,1.954,Texas
Aug 15 2016,1.963,Texas
Aug 22 2016,1.988,Texas
Aug 29 2016,2.035,Texas
Sep 5 2016,2.023,Texas
Sep 12 2016,1.988,Texas
Sep 19 2016,1.961,Texas
Sep 26 2016,1.953,Texas
Oct 3 2016,1.995,Texas
Oct 10 2016,2.034,Texas
Oct 17 2016,2.04,Texas
Oct 24 2016,2.05,Texas
Oct 31 2016,2.032,Texas
Nov 7 2016,2,Texas
Nov 14 2016,1.964,Texas
Nov 21 2016,1.908,Texas
Nov 28 2016,1.905,Texas
Dec 5 2016,1.982,Texas
Dec 12 2016,2.009,Texas
Dec 19 2016,2.044,Texas
Dec 26 2016,2.08,Texas
Jan 2 2017,2.156,Texas
Jan 9 2017,2.168,Texas
Jan 16 2017,2.153,Texas
Jan 23 2017,2.126,Texas
Jan 30 2017,2.091,Texas
Feb 6 2017,2.082,Texas
Feb 13 2017,2.089,Texas
Feb 20 2017,2.082,Texas
Feb 27 2017,2.08,Texas
Mar 6 2017,2.102,Texas
Mar 13 2017,2.09,Texas
Mar 20 2017,2.082,Texas
Mar 27 2017,2.083,Texas
Apr 3 2017,2.129,Texas
Apr 10 2017,2.191,Texas
Apr 17 2017,2.235,Texas
Apr 24 2017,2.224,Texas
May 1 2017,2.204,Texas
May 8 2017,2.185,Texas
May 15 2017,2.159,Texas
May 22 2017,2.186,Texas
May 29 2017,2.201,Texas
Jun 5 2017,2.203,Texas
Jun 12 2017,2.18,Texas
Jun 19 2017,2.133,Texas
Jun 26 2017,2.08,Texas
Jul 3 2017,2.039,Texas
Jul 10 2017,2.058,Texas
Jul 17 2017,2.052,Texas
Jul 24 2017,2.088,Texas
Jul 31 2017,2.105,Texas
Aug 7 2017,2.173,Texas
Aug 14 2017,2.17,Texas
Aug 21 2017,2.145,Texas
Aug 28 2017,2.176,Texas
Sep 4 2017,2.56,Texas
Sep 11 2017,2.537,Texas
Sep 18 2017,2.502,Texas
Sep 25 2017,2.462,Texas
Oct 2 2017,2.43,Texas
Oct 9 2017,2.37,Texas
Oct 16 2017,2.305,Texas
Oct 23 2017,2.262,Texas
Oct 30 2017,2.241,Texas
Nov 6 2017,2.269,Texas
Nov 13 2017,2.318,Texas
Nov 20 2017,2.288,Texas
Nov 27 2017,2.277,Texas
Dec 4 2017,2.265,Texas
Dec 11 2017,2.235,Texas
Dec 18 2017,2.171,Texas
Dec 25 2017,2.202,Texas
Jan 1 2018,2.28,Texas
Jan 8 2018,2.278,Texas
Jan 15 2018,2.286,Texas
Jan 22 2018,2.31,Texas
Jan 29 2018,2.349,Texas
Feb 5 2018,2.38,Texas
Feb 12 2018,2.357,Texas
Feb 19 2018,2.3,Texas
Feb 26 2018,2.282,Texas
Mar 5 2018,2.32,Texas
Mar 12 2018,2.311,Texas
Mar 19 2018,2.311,Texas
Mar 26 2018,2.38,Texas
Apr 2 2018,2.413,Texas
Apr 9 2018,2.413,Texas
Apr 16 2018,2.488,Texas
Apr 23 2018,2.529,Texas
Apr 30 2018,2.592,Texas
May 7 2018,2.621,Texas
