Effect,Rate,Scenario
Premature Mortality,65,Current pollution levels
Premature Mortality,7.1,10% reduction in pollution
Hospital admissions for respiratory conditions,20,Current pollution levels
Hospital admissions for respiratory conditions,2.1,10% reduction in pollution
Hospital admissions for cardiovascular conditions,26,Current pollution levels
Hospital admissions for cardiovascular conditions,2.8,10% reduction in pollution
ER visits for asthma (children),130,Current pollution levels
ER visits for asthma (children),14,10% reduction in pollution
ER visits for asthma (adults),57,Current pollution levels
ER visits for asthma (adults),6.3,10% reduction in pollution
